Nama_File,Kelas,GLCM_Mean,GLCM_Contrast,GLCM_Homogeneity,GLCM_ASM,GLCM_Energy
hole_ds (141).jpg,hole,0.007389784,1.5637207,24.851978,615.9824,24.78378
hole_ds (142).jpg,hole,0.0025427341,0.42274475,24.957567,622.46094,24.939674
hole_ds (143).jpg,hole,0.0018298626,0.24261475,24.981953,624.0595,24.975174
hole_ds (144).jpg,hole,0.0024626255,0.3985138,24.974258,623.5482,24.962933
hole_ds (145).jpg,hole,0.0023183823,0.3179474,24.979141,623.88416,24.970703
hole_ds (146).jpg,hole,0.0022947788,0.31204224,24.97952,623.90314,24.971104
hole_ds (147).jpg,hole,0.0049066544,1.103363,24.87952,617.3804,24.823296
hole_ds (148).jpg,hole,0.0026774406,0.499115,24.943014,621.2081,24.912666
hole_ds (149).jpg,hole,0.0014483929,0.15029907,24.98854,624.3174,24.982529
hole_ds (15).jpg,hole,0.83112454,43.525024,14.922999,108.51831,9.947239
hole_ds (150).jpg,hole,0.02195859,3.823639,24.612942,602.12885,24.443241
hole_ds (151).jpg,hole,0.014252901,1.8023071,24.812986,613.7604,24.723347
hole_ds (152).jpg,hole,0.00756979,0.3463745,24.969593,623.1344,24.952608
hole_ds (153).jpg,hole,0.0051367283,1.1776733,24.884426,618.29846,24.83597
hole_ds (154).jpg,hole,0.0028955936,0.70999146,24.945026,621.9957,24.925426
hole_ds (155).jpg,hole,0.0013291836,0.33493042,24.98423,624.22156,24.979689
hole_ds (156).jpg,hole,0.0,0.0,25.0,625.0,25.0
hole_ds (157).jpg,hole,0.004994869,0.55007935,24.965443,623.1024,24.95182
hole_ds (158).jpg,hole,0.004684925,0.4547119,24.969196,623.313,24.957306
hole_ds (159).jpg,hole,0.004553795,0.42648315,24.972889,623.51697,24.962103
hole_ds (16).jpg,hole,0.8903582,52.374786,16.000315,177.98117,12.029729
hole_ds (160).jpg,hole,0.0,0.0,25.0,625.0,25.0
hole_ds (161).jpg,hole,0.022205114,4.188965,24.685814,606.78296,24.548056
hole_ds (162).jpg,hole,0.008497238,1.153717,24.913536,620.0658,24.87909
hole_ds (163).jpg,hole,0.00672698,0.5670166,24.957954,622.7664,24.940958
hole_ds (164).jpg,hole,0.0,0.0,25.0,625.0,25.0
hole_ds (165).jpg,hole,0.008773804,1.86203,24.863016,617.0233,24.800314
hole_ds (166).jpg,hole,0.003106594,0.6465149,24.944008,621.7258,24.919544
hole_ds (167).jpg,hole,0.0015437603,0.35476685,24.978317,623.9338,24.972408
hole_ds (168).jpg,hole,0.0026512146,0.67474365,24.944626,621.8088,24.923563
hole_ds (169).jpg,hole,0.0056135654,1.2991333,24.871696,617.0024,24.808554
hole_ds (17).jpg,hole,1.0713341,60.032913,13.256702,73.950195,8.333014
hole_ds (170).jpg,hole,0.0008702278,0.1449585,24.988323,624.42834,24.98508
hole_ds (171).jpg,hole,0.0025320053,0.5381775,24.95338,622.26215,24.933056
hole_ds (172).jpg,hole,0.0015056133,0.29129028,24.974907,623.4945,24.963287
hole_ds (173).jpg,hole,0.0011622906,0.2243042,24.98706,624.36475,24.98341
hole_ds (174).jpg,hole,0.023008585,4.5022736,24.562954,600.45435,24.387157
hole_ds (175).jpg,hole,0.003373146,0.58062744,24.932673,620.38885,24.892843
hole_ds (176).jpg,hole,0.0016629696,0.1953125,24.984726,624.1102,24.9776
hole_ds (177).jpg,hole,0.006110668,1.3378143,24.872614,617.4901,24.815609
hole_ds (178).jpg,hole,0.0024712086,0.5341339,24.947994,622.02454,24.927538
hole_ds (179).jpg,hole,0.0010550022,0.1701355,24.987633,624.3694,24.983416
hole_ds (18).jpg,hole,2.1095378,9.386536,20.944553,302.28268,16.859867
hole_ds (180).jpg,hole,0.00810504,0.9928131,24.88986,618.1493,24.83517
hole_ds (181).jpg,hole,0.005761385,0.47851562,24.95066,621.9343,24.925642
hole_ds (182).jpg,hole,0.005251169,0.36392212,24.969751,623.2813,24.955349
hole_ds (183).jpg,hole,4.172325e-05,0.0030517578,24.998474,624.83105,24.996141
hole_ds (184).jpg,hole,0.0107584,2.090805,24.81409,614.09204,24.726343
hole_ds (185).jpg,hole,0.0025203228,0.44673157,24.942364,621.0575,24.906666
hole_ds (186).jpg,hole,0.0011146069,0.1487732,24.989517,624.4092,24.984795
hole_ds (187).jpg,hole,0.004121065,0.728302,24.892168,617.8448,24.830101
hole_ds (188).jpg,hole,0.0020349026,0.30441284,24.960136,622.39105,24.939205
hole_ds (189).jpg,hole,2.147572,20.679413,18.046692,113.13782,10.498345
hole_ds (19).jpg,hole,1.0149007,8.42334,21.630875,348.88004,17.857845
hole_ds (190).jpg,hole,2.147572,20.679413,18.046692,113.13782,10.498345
hole_ds (191).jpg,hole,1.3362784,11.876099,20.74842,302.8445,16.499115
hole_ds (192).jpg,hole,0.96471906,42.52484,14.27083,79.05771,8.794569
hole_ds (193).jpg,hole,1.4340646,56.902634,13.729453,85.444275,8.915825
hole_ds (194).jpg,hole,2.115123,13.20285,19.413906,236.60718,15.007643
hole_ds (195).jpg,hole,2.115123,13.20285,19.413906,236.60718,15.007643
hole_ds (196).jpg,hole,1.162622,47.632996,17.00672,230.87689,13.623128
hole_ds (197).jpg,hole,1.8660321,4.5341034,23.003838,434.53116,20.356375
hole_ds (198).jpg,hole,2.05433,1.0343933,24.498367,570.6404,23.687786
hole_ds (199).jpg,hole,0.8275044,14.946243,19.410072,240.492,14.85911
hole_ds (2).jpg,hole,1.4191961,6.1940155,21.914436,347.0747,18.211142
hole_ds (20).jpg,hole,1.074188,7.0449524,21.718124,366.10867,18.473787
hole_ds (200).jpg,hole,1.2056477,29.78424,15.409144,120.05585,10.732169
hole_ds (21).jpg,hole,1.4549618,14.690445,18.931313,206.50845,14.102843
hole_ds (22).jpg,hole,1.3109281,54.018936,14.038359,113.13965,9.874192
hole_ds (23).jpg,hole,2.356807,10.481018,20.217365,255.4126,15.488821
hole_ds (24).jpg,hole,1.5098119,12.399368,22.03757,445.6727,20.187756
hole_ds (25).jpg,hole,2.1773515,19.593674,18.545774,139.30246,11.541641
hole_ds (26).jpg,hole,2.1773515,19.593674,18.545774,139.30246,11.541641
hole_ds (27).jpg,hole,1.546833,70.24753,13.827342,110.98883,9.79908
hole_ds (28).jpg,hole,1.2483654,84.96562,11.788055,54.71805,7.1768985
hole_ds (29).jpg,hole,1.6179824,18.87497,18.410664,169.65555,12.368559
hole_ds (3).jpg,hole,1.1643348,12.809387,19.418055,214.84802,14.218951
hole_ds (30).jpg,hole,1.993511,12.763351,20.00416,282.63412,16.060188
hole_ds (31).jpg,hole,2.4607468,4.9884796,23.148521,478.76773,21.312859
hole_ds (32).jpg,hole,1.1636965,55.400192,13.5059395,90.30948,9.149658
hole_ds (33).jpg,hole,0.109579325,16.818634,23.57162,552.10425,23.068888
hole_ds (34).jpg,hole,0.025453806,4.044861,24.615377,602.5842,24.450586
hole_ds (35).jpg,hole,0.012326241,1.723175,24.853594,616.42236,24.792248
hole_ds (36).jpg,hole,2.0393193,31.32019,18.889114,343.76422,16.598259
hole_ds (37).jpg,hole,2.363397,9.892059,20.873766,321.8298,17.236515
hole_ds (38).jpg,hole,0.00013709068,0.006866455,24.996567,624.58167,24.990108
hole_ds (39).jpg,hole,0.02503395,1.3725281,24.870289,617.42004,24.809855
hole_ds (4).jpg,hole,1.7643366,9.636841,20.710972,292.57077,16.518864
hole_ds (40).jpg,hole,0.024235249,1.1322021,24.890682,618.5791,24.836502
hole_ds (41).jpg,hole,0.02362132,0.97351074,24.908394,619.6244,24.860384
hole_ds (42).jpg,hole,0.8542352,24.107483,17.980042,211.5015,13.665997
hole_ds (43).jpg,hole,0.975981,25.965103,18.898079,244.01907,14.226892
hole_ds (44).jpg,hole,0.0045046806,0.7044983,24.93097,620.3403,24.88937
hole_ds (45).jpg,hole,0.0034606457,0.4800415,24.954098,621.97424,24.92855
hole_ds (46).jpg,hole,0.002771616,0.2861023,24.981167,623.9732,24.973778
hole_ds (47).jpg,hole,1.5439601,39.09082,14.427471,96.04285,9.675642
hole_ds (48).jpg,hole,0.009900093,1.9128418,24.825466,615.035,24.756613
hole_ds (49).jpg,hole,0.004386902,0.546875,24.94281,621.31287,24.913609
hole_ds (5).jpg,hole,1.3194821,4.4836273,22.78025,410.6292,19.794504
hole_ds (50).jpg,hole,0.0031471252,0.2609253,24.981058,623.93884,24.973122
hole_ds (51).jpg,hole,0.024951696,4.071579,24.55502,600.1771,24.350088
hole_ds (52).jpg,hole,0.0028896332,0.44866943,24.940243,620.88696,24.90258
hole_ds (53).jpg,hole,0.0014722347,0.20065308,24.986088,624.2424,24.98035
hole_ds (54).jpg,hole,1.9669602,10.0776825,20.957447,308.18402,16.685379
hole_ds (55).jpg,hole,1.1920929e-05,0.0015258789,24.999237,624.9314,24.998537
hole_ds (56).jpg,hole,0.0056815147,0.8997345,24.918495,619.45105,24.865227
hole_ds (57).jpg,hole,0.0021219254,0.3425598,24.954552,621.9386,24.928637
hole_ds (58).jpg,hole,0.0013411045,0.19302368,24.985643,624.27,24.980999
hole_ds (59).jpg,hole,4.7683716e-05,0.0038146973,24.998093,624.79504,24.995396
hole_ds (6).jpg,hole,0.6736729,14.237198,20.143517,220.05814,14.207191
hole_ds (60).jpg,hole,0.014279604,3.332306,24.72192,608.9037,24.606312
hole_ds (61).jpg,hole,0.003480196,0.5829468,24.935705,620.9912,24.90403
hole_ds (62).jpg,hole,0.0022888184,0.37612915,24.972233,623.5469,24.962475
hole_ds (63).jpg,hole,0.0057697296,1.2141418,24.869286,617.6195,24.817041
hole_ds (64).jpg,hole,0.00182271,0.36315918,24.963587,622.7666,24.947123
hole_ds (65).jpg,hole,0.0013649464,0.24871826,24.98184,624.08167,24.9765
hole_ds (66).jpg,hole,0.005084276,0.90148926,24.941195,621.7561,24.919998
hole_ds (67).jpg,hole,0.0040233135,0.45944214,24.965477,623.12427,24.953556
hole_ds (68).jpg,hole,0.0036120415,0.3440857,24.973812,623.59143,24.963692
hole_ds (69).jpg,hole,1.8059947,34.802643,19.683283,271.7821,15.557369
hole_ds (7).jpg,hole,1.6319871,13.971252,20.119627,288.6724,16.054115
hole_ds (70).jpg,hole,0.01715064,3.9370422,24.63084,604.9061,24.50399
hole_ds (71).jpg,hole,0.0034070015,0.7306671,24.911772,619.631,24.873066
hole_ds (72).jpg,hole,0.0008940697,0.16403198,24.986729,624.3784,24.983892
hole_ds (73).jpg,hole,0.013849497,2.9205322,24.732754,609.8423,24.61995
hole_ds (74).jpg,hole,0.0045681,0.7474518,24.920773,620.0173,24.8797
hole_ds (75).jpg,hole,0.0025331974,0.29830933,24.979622,623.8739,24.971004
hole_ds (76).jpg,hole,0.012028217,2.5901794,24.711239,607.64954,24.580734
hole_ds (77).jpg,hole,0.003942251,0.652771,24.914257,619.60345,24.87093
hole_ds (78).jpg,hole,0.0019907951,0.2593994,24.981625,624.05865,24.975443
hole_ds (79).jpg,hole,0.003478527,0.7698059,24.945042,621.9936,24.927675
hole_ds (8).jpg,hole,1.8194766,7.5955048,21.819027,386.53827,18.968773
hole_ds (80).jpg,hole,0.0020241737,0.41999817,24.972757,623.4664,24.962296
hole_ds (81).jpg,hole,0.0017464161,0.3555298,24.978529,623.7892,24.969292
hole_ds (82).jpg,hole,0.0,0.0,25.0,625.0,25.0
hole_ds (83).jpg,hole,0.007534027,1.2577972,24.884586,618.0106,24.831963
hole_ds (84).jpg,hole,0.0045251846,0.5298004,24.958645,622.42725,24.937096
hole_ds (85).jpg,hole,0.004065037,0.440979,24.970188,623.37537,24.958635
hole_ds (86).jpg,hole,0.008596182,2.255478,24.854057,616.8294,24.800287
hole_ds (87).jpg,hole,0.0016276836,0.32955933,24.973444,623.19116,24.956665
hole_ds (88).jpg,hole,0.00076293945,0.14419556,24.990454,624.5035,24.987175
hole_ds (89).jpg,hole,0.0014305115,0.21514893,24.981182,623.91583,24.973225
hole_ds (9).jpg,hole,1.5749648,19.67685,17.718227,115.54892,10.577431
hole_ds (90).jpg,hole,0.001257658,0.18081665,24.98562,624.20306,24.980064
hole_ds (91).jpg,hole,0.0012099743,0.17471313,24.987757,624.3718,24.983715
hole_ds (92).jpg,hole,0.010160685,1.2786407,24.8864,618.4359,24.835318
hole_ds (93).jpg,hole,0.0055754185,0.71273804,24.934412,621.1195,24.903446
hole_ds (94).jpg,hole,0.004094839,0.39596558,24.969568,623.23773,24.953987
hole_ds (95).jpg,hole,0.0039494038,0.80192566,24.92988,620.82495,24.897207
hole_ds (96).jpg,hole,0.0031483173,0.63964844,24.954569,622.6195,24.9389
hole_ds (97).jpg,hole,0.003029108,0.60684204,24.959986,622.94275,24.945906
hole_ds (98).jpg,hole,0.0038790703,0.64682007,24.94775,622.25995,24.930601
hole_ds (99).jpg,hole,0.0086295605,1.8621063,24.812618,614.3397,24.740482
10_processed (1).jpg,lines,0.11907339,23.590317,22.884312,517.48,22.17915
10_processed (2).jpg,lines,0.029568672,7.0759583,24.286644,583.91003,23.995789
10_processed (3).jpg,lines,0.015808344,3.885727,24.651152,605.5885,24.525494
11_processed (1).jpg,lines,0.16190052,22.397156,23.212141,537.2879,22.653948
11_processed (2).jpg,lines,0.08213043,13.405838,23.920322,569.4949,23.555647
11_processed (3).jpg,lines,0.033316612,5.1634216,24.588129,602.11676,24.439352
12_processed (1).jpg,lines,0.041701317,7.580902,24.456705,597.115,24.274006
12_processed (2).jpg,lines,0.026851416,4.751541,24.682632,608.6315,24.575272
12_processed (3).jpg,lines,0.02299738,3.9545746,24.745384,611.94446,24.659939
13_processed (1).jpg,lines,0.04077387,5.336212,24.596493,604.0989,24.445538
13_processed (2).jpg,lines,0.010851145,1.8935547,24.856918,617.9502,24.817343
13_processed (3).jpg,lines,0.00818491,1.4175415,24.906315,620.86255,24.890036
14_processed (1).jpg,lines,0.007004738,1.6178894,24.880684,619.1122,24.851578
14_processed (2).jpg,lines,0.010863543,2.42688,24.797195,614.1332,24.73085
14_processed (3).jpg,lines,0.017654896,3.7311249,24.681847,607.3196,24.56409
14_processed(1).jpg,lines,0.031578302,3.9611206,24.601658,602.8998,24.43948
14_processed(2).jpg,lines,0.1126287,14.153915,23.760353,563.2841,23.344425
14_processed(3).jpg,lines,0.012000799,1.4979858,24.851858,616.5624,24.779846
15.jpg,lines,0.0,0.0,25.0,625.0,25.0
15_processed (1).jpg,lines,0.045573235,8.956802,24.372944,590.668,24.126587
15_processed (2).jpg,lines,0.015238047,4.0434723,24.724707,610.93414,24.649513
15_processed (3).jpg,lines,0.0091433525,2.4367676,24.847343,617.76636,24.81385
15_processed(1).jpg,lines,0.017462969,1.3395691,24.815033,611.3214,24.655209
15_processed(2).jpg,lines,0.123649836,17.973557,23.482195,540.2527,22.818914
15_processed(3).jpg,lines,0.06902695,9.598389,24.11799,574.8058,23.698471
16.jpg,lines,1.7881393e-05,0.0022888184,24.998856,624.9005,24.997839
16_processed (1).jpg,lines,0.042811632,5.8694305,24.662373,607.6461,24.554766
16_processed (2).jpg,lines,0.18303943,22.829254,23.501732,544.6837,22.941252
16_processed (3).jpg,lines,0.037293434,5.0871277,24.722242,611.12714,24.641464
17.jpg,lines,0.0,0.0,25.0,625.0,25.0
17_processed (1).jpg,lines,0.029492378,6.1788177,24.554588,600.7103,24.391493
17_processed (2).jpg,lines,0.018417835,3.7957764,24.743671,611.5472,24.661427
17_processed (3).jpg,lines,0.014644861,2.9214478,24.835526,616.75916,24.786072
18.jpg,lines,5.9604645e-06,0.00076293945,24.999619,624.964,24.999252
18_processed (1).jpg,lines,0.06961346,9.79744,24.446522,596.9428,24.27118
18_processed (2).jpg,lines,0.044517517,6.8444214,24.623356,606.4552,24.519459
18_processed (3).jpg,lines,0.0406754,6.120453,24.665344,608.66766,24.575928
19.jpg,lines,0.0,0.0,25.0,625.0,25.0
19_processed (1).jpg,lines,0.06960988,14.973145,23.967651,570.5132,23.616714
19_processed (2).jpg,lines,0.0451231,9.805069,24.32085,588.63696,24.082573
19_processed (3).jpg,lines,0.019097328,4.4956512,24.721573,611.20996,24.65202
1_processed (1).jpg,lines,0.011088133,1.9487762,24.791302,612.33655,24.695604
1_processed (2).jpg,lines,0.0059854984,0.8234558,24.887695,617.9618,24.83146
1_processed (3).jpg,lines,0.0047826767,0.5251465,24.928497,620.723,24.894302
1_processed(1).jpg,lines,0.13127804,12.162781,23.736172,562.235,23.284399
1_processed(2).jpg,lines,0.011425018,2.658432,24.724863,609.20984,24.610332
1_processed(3).jpg,lines,0.006289482,1.504715,24.857834,616.57544,24.796635
20.jpg,lines,0.0,0.0,25.0,625.0,25.0
20180531_140300(1).jpg,lines,1.1800475,26.840958,16.658983,110.91766,10.314695
20180531_140300.jpg,lines,1.1800475,26.840958,16.658983,110.91766,10.314695
20180531_140329.jpg,lines,1.2420945,33.672485,15.790985,106.8667,10.121168
20180531_140759.jpg,lines,0.75917864,8.124466,21.418861,292.87344,16.37381
20180531_140818.jpg,lines,0.6730974,27.99118,18.378565,199.48035,12.985411
20_processed (1).jpg,lines,0.110464096,10.107651,24.423182,595.00745,24.242676
20_processed (2).jpg,lines,0.051670074,6.8245697,24.577812,602.93414,24.438278
20_processed (3).jpg,lines,0.046551228,5.812912,24.654058,607.30725,24.546316
21_processed (1).jpg,lines,0.04763508,10.166,24.236168,586.1492,23.994722
21_processed (2).jpg,lines,0.017416716,4.1338196,24.70725,609.5282,24.61471
21_processed (3).jpg,lines,0.011701584,2.6824188,24.836315,616.8312,24.790743
22.jpg,lines,0.0,0.0,25.0,625.0,25.0
22_processed (1).jpg,lines,0.012024641,3.1832886,24.808044,616.0261,24.76886
22_processed (2).jpg,lines,0.010236502,2.7186584,24.843182,617.75903,24.811577
22_processed (3).jpg,lines,0.008919239,2.433319,24.865025,618.90674,24.839897
23.jpg,lines,0.0,0.0,25.0,625.0,25.0
23_processed (1).jpg,lines,0.037230253,4.217758,24.691317,607.8064,24.56694
23_processed (2).jpg,lines,0.01667142,2.2530365,24.823704,615.36365,24.758322
23_processed (3).jpg,lines,0.013166666,1.7242432,24.882904,619.08746,24.84759
24_processed (1).jpg,lines,0.0058162212,1.7249298,24.860147,617.3074,24.812893
24_processed (2).jpg,lines,0.0036633015,1.0153198,24.91571,620.3308,24.886185
24_processed (3).jpg,lines,0.0028824806,0.8381653,24.943506,622.2983,24.93092
25_processed (1).jpg,lines,0.058353186,7.0607452,24.505308,599.5974,24.335228
25_processed (2).jpg,lines,0.014371157,3.0862274,24.765118,612.57446,24.684238
25_processed (3).jpg,lines,0.004192829,0.8775635,24.924015,620.96106,24.900225
26_processed (1).jpg,lines,0.070227385,4.6043396,24.56911,601.49036,24.387291
26_processed (2).jpg,lines,0.025628805,2.53891,24.720387,608.78613,24.58908
26_processed (3).jpg,lines,0.018103123,1.0706329,24.886793,617.7905,24.817837
27.jpg,lines,0.00019669533,0.015258789,24.99237,624.22174,24.982006
27_processed (1).jpg,lines,0.0115430355,1.6025238,24.85205,616.5054,24.786278
27_processed (2).jpg,lines,0.007082224,0.621994,24.929802,620.91394,24.895645
27_processed (3).jpg,lines,0.0057137012,0.4043579,24.943874,621.65375,24.91364
28.jpg,lines,7.1525574e-05,0.0030517578,24.998474,624.7725,24.99471
28_processed (1).jpg,lines,0.039340258,5.5719757,24.590897,601.99365,24.41148
28_processed (2).jpg,lines,0.026306868,3.5066833,24.758553,611.50244,24.654139
28_processed (3).jpg,lines,0.023767948,2.9870605,24.800686,614.04156,24.715939
29.jpg,lines,0.0,0.0,25.0,625.0,25.0
29_processed (1).jpg,lines,0.0057098866,0.7991028,24.927761,620.6011,24.888596
29_processed (2).jpg,lines,0.004011154,0.41152954,24.956486,622.20496,24.928204
29_processed (3).jpg,lines,0.0036001205,0.28305054,24.96594,622.8441,24.943197
2_processed (1).jpg,lines,0.05041051,5.682678,24.478256,597.42834,24.27205
2_processed (2).jpg,lines,0.025916576,2.9716492,24.704153,608.65393,24.57227
2_processed (3).jpg,lines,0.011512041,0.86906433,24.89738,618.1478,24.829826
2_processed(1).jpg,lines,0.15377855,11.584732,24.133175,580.9712,23.846096
2_processed(2).jpg,lines,0.06886339,8.185867,24.408846,594.63007,24.212086
2_processed(3).jpg,lines,0.03481984,5.753784,24.575253,602.9099,24.43099
30.jpg,lines,0.0,0.0,25.0,625.0,25.0
30_processed (1).jpg,lines,0.09061813,11.604401,24.123877,574.6915,23.722542
30_processed (2).jpg,lines,0.045313835,3.8483276,24.672457,604.77844,24.494349
30_processed (3).jpg,lines,0.036320686,1.5811157,24.822838,612.61206,24.68872
31.jpg,lines,0.16183615,1.0418701,24.479065,572.8227,23.749012
31_processed (1).jpg,lines,0.13239264,8.8974,24.254568,584.70435,23.930693
31_processed (2).jpg,lines,0.027189255,2.3841095,24.757109,609.62036,24.612984
31_processed (3).jpg,lines,0.020319223,0.94299316,24.88646,616.9851,24.795115
32.jpg,lines,0.15699506,0.9825134,24.508743,574.55896,23.796595
32_processed (1).jpg,lines,0.08550048,8.683624,24.269468,584.41473,23.934666
32_processed (2).jpg,lines,0.08616805,8.874359,24.172749,578.7294,23.795551
32_processed (3).jpg,lines,0.04513383,2.012329,24.781013,610.80237,24.63562
33.jpg,lines,0.68069863,2.0093536,23.995323,534.9845,22.820013
33_processed (1).jpg,lines,0.041090727,8.536224,24.140175,577.1212,23.799793
33_processed (2).jpg,lines,0.010558844,1.457367,24.851303,616.1404,24.78347
33_processed (3).jpg,lines,0.007871389,0.8151245,24.932951,621.1433,24.899014
34.jpg,lines,0.0,0.0,25.0,625.0,25.0
34_processed (1).jpg,lines,0.042289495,5.7785797,24.440926,590.3353,24.148876
34_processed (2).jpg,lines,0.021207333,1.8851471,24.810398,612.8523,24.698517
34_processed (3).jpg,lines,0.017709732,1.1456299,24.883207,617.6024,24.809912
3_processed (1).jpg,lines,0.036628008,5.5327454,24.4511,595.71497,24.225464
3_processed (2).jpg,lines,0.025797367,3.4429932,24.668106,606.8724,24.520521
3_processed (3).jpg,lines,0.017222166,1.651001,24.817791,614.13477,24.71434
3_processed(1).jpg,lines,0.004760027,1.3166046,24.883467,618.75134,24.85094
3_processed(2).jpg,lines,0.0022804737,0.6222534,24.949852,622.44244,24.937634
3_processed(3).jpg,lines,0.0036501884,0.96343994,24.914675,620.3443,24.888233
4_processed (1).jpg,lines,0.031733274,4.544861,24.627584,602.4868,24.422333
4_processed (2).jpg,lines,0.024833918,3.0962982,24.721436,607.16284,24.543869
4_processed (3).jpg,lines,0.019077301,1.7921295,24.814098,612.1485,24.669348
4_processed(1).jpg,lines,0.053280592,10.610199,24.133274,580.948,23.865139
4_processed(2).jpg,lines,0.027335882,5.303421,24.58029,603.19556,24.448616
4_processed(3).jpg,lines,0.021967888,4.013138,24.700863,609.71924,24.60606
5_processed (1).jpg,lines,0.15772772,20.266708,23.358555,543.6465,22.838528
5_processed (2).jpg,lines,0.056916475,11.373749,24.047792,576.30255,23.74649
5_processed (3).jpg,lines,0.012550354,2.6533508,24.771019,612.0912,24.684149
6_processed (1).jpg,lines,0.100893974,12.247467,24.101414,579.66754,23.794876
6_processed (2).jpg,lines,0.05341649,9.797058,24.282383,588.905,24.043945
6_processed (3).jpg,lines,0.012733936,3.184967,24.789005,614.05457,24.723404
7_processed (1).jpg,lines,0.09938049,18.06491,23.625008,556.3734,23.183693
7_processed (2).jpg,lines,0.042949915,8.360291,24.395817,593.61316,24.197796
7_processed (3).jpg,lines,0.032132864,5.8885193,24.632383,606.6167,24.52166
8_processed (1).jpg,lines,0.17627597,16.691284,23.592339,552.41034,23.102966
8_processed (2).jpg,lines,0.043381453,5.9755554,24.488827,598.57556,24.297016
8_processed (3).jpg,lines,0.36703706,37.508316,21.880283,468.77985,20.819937
